beach_id,beach_name,state,county,reasons,indicators,sources,no_of_beach_actions,no_of_days_under_action,closure,rain_advisory,contamination_advisory
AK212340,KB-Sunset,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,13,0,0,2
AK301573,KB-Beacon Hill,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,11,0,0,2
AK346845,KB-Mtn Pt Cultural Food,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,13,0,0,1
AK365539,KB-Rotary Pool,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,46,0,0,5
AK406019,KB-Knudson,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,46,0,0,5
AK466549,KB-Shull,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,20,0,0,2
AK495900,KB-Seaport,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,28,0,0,2
AK508635,KB-Thomas Basin,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,63,0,0,5
AK544485,KB-Refuge,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,6,0,0,1
AK549954,Herring Cove and Tidal Meadow,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,27,0,0,3
AK551272,North Kenai Beach,AK,KENAI PENINSULA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,15,0,0,1
AK802097,South Kenai Beach,AK,KENAI PENINSULA,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,38,0,0,5
AK909574,KB-SPHiggins,AK,KETCHIKAN GATEWAY,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,6,37,0,0,6
AL112942,MARY ANN NELSON BEACH,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,5,0,0,1
AL197202,FOWL RIVER @ HW 193,AL,MOBILE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,11,0,0,5
AL261419,KEE AVENUE,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,8,0,0,2
AL432101,ESCAMBIA AVENUE,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
AL436981,ORANGE BEACH WATERFRONT PARK,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
AL477431,ORANGE STREET PIER/BEACH,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,4,0,0,1
AL548743,FLORIDA POINT,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,1,1,0,0,1
AL574749,"DOG RIVER, ALBA CLUB",AL,MOBILE,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,5,10,0,0,5
AL819426,VOLANTA AVENUE,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,4,16,0,0,4
AL824748,FAIRHOPE PUBLIC BEACH,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,7,29,0,0,7
AL854232,CAMP BECKWITH,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,3,12,0,0,3
AL890020,SPANISH COVE,AL,BALDWIN,ELEVATED BACTERIA,ENTEROCOCCI,UNKNOWN,2,5,0,0,2
CA000886,Topanga State Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",61,172,0,15,46
CA003379,Doheny State Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",50,492,0,16,34
CA006650,Newport Beach,CA,ORANGE,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",38,152,1,16,21
CA009204,Carlsbad State Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",19,73,0,18,1
CA010024,Hobie Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",14,111,0,11,3
CA010930,Surfers Beach,CA,SAN MATEO,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, SEWER LINE",32,333,1,0,31
CA011231,Thornhill Broome Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,11,88,0,11,0
CA022378,Port Hueneme Beach Park,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",16,127,1,11,4
CA042969,El Segundo Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,15,69,0,15,0
CA052127,Mitchell's Cove Beach,CA,SANTA CRUZ,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,3,27,0,3,0
CA059339,San Elijo State Beach,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,18,72,0,18,0
CA066832,Point Dume County Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN",20,89,0,15,5
CA068221,"Imperial Beach municipal beach, other",CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",34,162,13,18,3
CA073594,Staircase Beach,CA,VENTURA,"ELEVATED BACTERIA, RAINFALL",ENTEROCOCCI,STORM,11,88,0,11,0
CA083351,Nicholas Canyon County Beach,CA,LOS ANGELES,"ELEVATED BACTERIA, RAINFALL","ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",19,77,0,15,4
CA104746,Tijuana Slough National Wildlife Refuge,CA,SAN DIEGO,"ELEVATED BACTERIA, RAINFALL","ENTEROCOCCI, ECOLI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","STORM, UNKNOWN, OTHER",21,86,1,18,2
CA105443,Millerton Point,CA,MARIN,ELEVATED BACTERIA,"ECOLI, ENTEROCOCCI, FECAL COLIFORM, FECAL-TO-TOTAL COLIFORM RATIO, TOTAL COLIFORM","UNKNOWN, STORM",8,54,0,0,8
