"Beach ID","Beach Name","County","State","SwimSeasonLength","SwimSeason Length Units","SwimSeasonMonitoringFrequency","SwimSeasonMonitorFrequencyUnits","Off SeasonMonitoringFrequency","Off SeasonMonitorFrequencyUnits","MonitoringReportingFrequency(to EPA)","MonitoringReportingFrequencyUnits","BeachLength (Mi)","Year"
"VA800662","ASSATEAGUE ISLAND NATIONAL SEASHORE","ACCOMACK","VA","5","MONTHS","-","-","-","-","-","-","16.317","2018"
"VA800662","ASSATEAGUE ISLAND NATIONAL SEASHORE","ACCOMACK","VA","5","MONTHS","-","-","-","-","-","-","16.317","2017"
"MD613035","Assateague Virginia","ACCOMACK","VA","98","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR",".147","2018"
"MD613035","Assateague Virginia","ACCOMACK","VA","98","DAYS","-","-","-","-","1","PER_YEAR",".147","2017"
"VA153278","GUARD SHORE","ACCOMACK","VA","153","DAYS","4","PER_MONTH","0","PER_MONTH","1","PER_YEAR",".435","2018"
"VA153278","GUARD SHORE","ACCOMACK","VA","153","DAYS","-","-","-","-","1","PER_YEAR",".435","2017"
"PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","PR","364","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR",".198","2018"
"PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","PR","364","DAYS","-","-","-","-","1","PER_YEAR",".198","2017"
"PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","PR","364","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR",".294","2018"
"PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","PR","364","DAYS","-","-","-","-","1","PER_YEAR",".294","2017"
"CA580154","Alameda Point","ALAMEDA","CA","365","DAYS","-","-","-","-","-","-",".1","2018"
"CA580154","Alameda Point","ALAMEDA","CA","365","DAYS","-","-","-","-","-","-",".1","2017"
"CA549911","Crown Beach (Alameda Co)","ALAMEDA","CA","364","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR","1.77","2018"
"CA549911","Crown Beach (Alameda Co)","ALAMEDA","CA","364","DAYS","-","-","-","-","1","PER_YEAR","1.77","2017"
"CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","CA","364","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_YEAR",".056","2018"
"CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","CA","364","DAYS","-","-","-","-","1","PER_YEAR",".056","2017"
"MI000293","Black River Public Access","ALCONA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".261","2018"
"MI000293","Black River Public Access","ALCONA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".261","2017"
"MI908114","Greenbush Township","ALCONA","MI","126","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".012","2018"
"MI908114","Greenbush Township","ALCONA","MI","126","DAYS","-","-","-","-","1","PER_WEEK",".012","2017"
"MI388337","Harrisville Public Access","ALCONA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".191","2018"
"MI388337","Harrisville Public Access","ALCONA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".191","2017"
"MI000348","Harrisville State Park","ALCONA","MI","126","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".031","2018"
"MI000348","Harrisville State Park","ALCONA","MI","126","DAYS","-","-","-","-","1","PER_WEEK",".031","2017"
"MI589651","Negwegon State Park","ALCONA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","2.361","2018"
"MI589651","Negwegon State Park","ALCONA","MI","105","DAYS","-","-","-","-","1","PER_WEEK","2.361","2017"
"MI556458","Point Rd. Beach","ALCONA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".569","2018"
"MI556458","Point Rd. Beach","ALCONA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".569","2017"
"MI524922","Private Shoreline Beach-Harrisville","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".735","2018"
"MI524922","Private Shoreline Beach-Harrisville","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".735","2017"
"MI421192","Private Shoreline Beach-North of Alcona","ALCONA","MI","150","DAYS","-","-","-","-","-","-","2.347","2018"
"MI421192","Private Shoreline Beach-North of Alcona","ALCONA","MI","150","DAYS","-","-","-","-","-","-","2.347","2017"
"MI493600","Private Shoreline Beach-North of Black River","ALCONA","MI","150","DAYS","-","-","-","-","-","-","1.056","2018"
"MI493600","Private Shoreline Beach-North of Black River","ALCONA","MI","150","DAYS","-","-","-","-","-","-","1.056","2017"
"MI561470","Private Shoreline Beach-North of Harrisville","ALCONA","MI","150","DAYS","-","-","-","-","-","-","1.584","2018"
"MI561470","Private Shoreline Beach-North of Harrisville","ALCONA","MI","150","DAYS","-","-","-","-","-","-","1.584","2017"
"MI185982","Private Shoreline Beach-South of Alcona","ALCONA","MI","150","DAYS","-","-","-","-","-","-","4.35","2018"
"MI185982","Private Shoreline Beach-South of Alcona","ALCONA","MI","150","DAYS","-","-","-","-","-","-","4.35","2017"
"MI664059","Private Shoreline Beach-South of Sturgeon Point","ALCONA","MI","150","DAYS","-","-","-","-","-","-","2.051","2018"
"MI664059","Private Shoreline Beach-South of Sturgeon Point","ALCONA","MI","150","DAYS","-","-","-","-","-","-","2.051","2017"
"MI635693","Private Shoreline Beach-Southern County Border","ALCONA","MI","150","DAYS","-","-","-","-","-","-","3.666","2018"
"MI635693","Private Shoreline Beach-Southern County Border","ALCONA","MI","150","DAYS","-","-","-","-","-","-","3.666","2017"
"MI365363","Private Shoreline Beach-Village of Greenbush","ALCONA","MI","150","DAYS","-","-","-","-","-","-","5.886","2018"
"MI365363","Private Shoreline Beach-Village of Greenbush","ALCONA","MI","150","DAYS","-","-","-","-","-","-","5.886","2017"
"MI156018","Public Shoreline Beach-Huron National Forest North","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".522","2018"
"MI156018","Public Shoreline Beach-Huron National Forest North","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".522","2017"
"MI732544","Public Shoreline Beach-Huron National Forest South","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".478","2018"
"MI732544","Public Shoreline Beach-Huron National Forest South","ALCONA","MI","150","DAYS","-","-","-","-","-","-",".478","2017"
"MI680454","Trask Lake Road Beach","ALCONA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".014","2018"
"MI680454","Trask Lake Road Beach","ALCONA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".014","2017"
"MI152478","Au Train Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".435","2018"
"MI152478","Au Train Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".435","2017"
"MI927757","Bay Furnace Recreation Area Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".274","2018"
"MI927757","Bay Furnace Recreation Area Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".274","2017"
"MI865512","Christmas Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".436","2018"
"MI865512","Christmas Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".436","2017"
"MI439427","Grand Marais Harbor Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".794","2018"
"MI439427","Grand Marais Harbor Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".794","2017"
"MI840959","Grand Marais Township Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","1.207","2018"
"MI840959","Grand Marais Township Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK","1.207","2017"
"MI233728","Hurricane Campground Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-",".194","2018"
"MI233728","Hurricane Campground Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-",".194","2017"
"MI909175","Miners Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.355","2018"
"MI909175","Miners Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.355","2017"
"MI127303","Munising Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".45","2018"
"MI127303","Munising Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".45","2017"
"MI211610","Private Shoreline Beach-Au Train Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.771","2018"
"MI211610","Private Shoreline Beach-Au Train Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.771","2017"
"MI287429","Private Shoreline Beach-North of Roadside Park","ALGER","MI","150","DAYS","-","-","-","-","-","-",".497","2018"
"MI287429","Private Shoreline Beach-North of Roadside Park","ALGER","MI","150","DAYS","-","-","-","-","-","-",".497","2017"
"MI974266","Private Shoreline Beach-Powell Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.283","2018"
"MI974266","Private Shoreline Beach-Powell Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.283","2017"
"MI222791","Private Shoreline Beach-South of Five Mile Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.082","2018"
"MI222791","Private Shoreline Beach-South of Five Mile Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.082","2017"
"MI334266","Private Shoreline Beach-W Co. Border- Au Train Bay","ALGER","MI","150","DAYS","-","-","-","-","-","-","20.35","2018"
"MI334266","Private Shoreline Beach-W Co. Border- Au Train Bay","ALGER","MI","150","DAYS","-","-","-","-","-","-","20.35","2017"
"MI712863","Private Shoreline Beach-West and East Bay area","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.449","2018"
"MI712863","Private Shoreline Beach-West and East Bay area","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.449","2017"
"MI154788","Public Shoreline Beach-Au Train Bay","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","1.553","2018"
"MI154788","Public Shoreline Beach-Au Train Bay","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK","1.553","2017"
"MI379388","Public Shoreline Beach-Au Train to Five Mile Pts","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","2.206","2018"
"MI379388","Public Shoreline Beach-Au Train to Five Mile Pts","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK","2.206","2017"
"MI111241","Public Shoreline Beach-East County Border area","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","2.051","2018"
"MI111241","Public Shoreline Beach-East County Border area","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK","2.051","2017"
"MI978810","Public Shoreline Beach-Grand Sable Dunes","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","8.953","2018"
"MI978810","Public Shoreline Beach-Grand Sable Dunes","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK","8.953","2017"
"MI678516","Public Shoreline-Grand Portal Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","6.729","2018"
"MI678516","Public Shoreline-Grand Portal Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","6.729","2017"
"MI562222","Public Shoreline-Sand Point to Miners Castle Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.79","2018"
"MI562222","Public Shoreline-Sand Point to Miners Castle Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","3.79","2017"
"MI248569","Rathfoot Park Beach","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".764","2018"
"MI248569","Rathfoot Park Beach","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".764","2017"
"MI739173","Roadside Park","ALGER","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".345","2018"
"MI739173","Roadside Park","ALGER","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".345","2017"
"MI566719","Sand Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.833","2018"
"MI566719","Sand Point","ALGER","MI","150","DAYS","-","-","-","-","-","-","1.833","2017"
"MI970355","Sullivans Landing","ALGER","MI","150","DAYS","-","-","-","-","-","-",".298","2018"
"MI970355","Sullivans Landing","ALGER","MI","150","DAYS","-","-","-","-","-","-",".298","2017"
"MI972362","Twelve-Mile Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-","11.992","2018"
"MI972362","Twelve-Mile Beach","ALGER","MI","150","DAYS","-","-","-","-","-","-","11.992","2017"
"MI813385","Castle Park","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-",".51","2018"
"MI813385","Castle Park","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-",".51","2017"
"MI001149","Douglas Beach","ALLEGAN","MI","107","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".062","2018"
"MI001149","Douglas Beach","ALLEGAN","MI","107","DAYS","-","-","-","-","1","PER_WEEK",".062","2017"
"MI228808","Laketown Township Park","ALLEGAN","MI","99","DAYS","-","-","-","-","-","-",".095","2018"
"MI228808","Laketown Township Park","ALLEGAN","MI","99","DAYS","-","-","-","-","-","-",".095","2017"
"MI001148","Oval Beach","ALLEGAN","MI","107","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".273","2018"
"MI001148","Oval Beach","ALLEGAN","MI","107","DAYS","-","-","-","-","1","PER_WEEK",".273","2017"
"MI001150","Pier Cove Beach","ALLEGAN","MI","107","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".021","2018"
"MI001150","Pier Cove Beach","ALLEGAN","MI","107","DAYS","-","-","-","-","1","PER_WEEK",".021","2017"
"MI617585","Private Shoreline Beach-North County Border","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","1.168","2018"
"MI617585","Private Shoreline Beach-North County Border","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","1.168","2017"
"MI190994","Private Shoreline Beach-Saugatuck","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","1.056","2018"
"MI190994","Private Shoreline Beach-Saugatuck","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","1.056","2017"
"MI473859","Private Shoreline Beach-South of Castle Park","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","2.33","2018"
"MI473859","Private Shoreline Beach-South of Castle Park","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","2.33","2017"
"MI230862","Private Shoreline Beach-South of Douglas","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","3.853","2018"
"MI230862","Private Shoreline Beach-South of Douglas","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","3.853","2017"
"MI481150","Private Shoreline Beach-Southern County Border","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","10.936","2018"
"MI481150","Private Shoreline Beach-Southern County Border","ALLEGAN","MI","150","DAYS","-","-","-","-","-","-","10.936","2017"
"MI344038","Saugatuck Dunes State Park Shoreline Beach","ALLEGAN","MI","107","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK","2.361","2018"
"MI344038","Saugatuck Dunes State Park Shoreline Beach","ALLEGAN","MI","107","DAYS","-","-","-","-","1","PER_WEEK","2.361","2017"
"MI001151","West Side County Park Beach","ALLEGAN","MI","107","DAYS","1","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".124","2018"
"MI001151","West Side County Park Beach","ALLEGAN","MI","107","DAYS","-","-","-","-","1","PER_WEEK",".124","2017"
"MI000398","3","ALPENA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".062","2018"
"MI000398","3","ALPENA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".062","2017"
"MI000284","Bay View Park","ALPENA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".249","2018"
"MI000284","Bay View Park","ALPENA","MI","105","DAYS","-","-","-","-","1","PER_WEEK",".249","2017"
"MI000282","Blair Street Park","ALPENA","MI","94","DAYS","3","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".037","2018"
"MI000282","Blair Street Park","ALPENA","MI","94","DAYS","-","-","-","-","1","PER_WEEK",".037","2017"
"MI883481","Elcajon Bay","ALPENA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","1","2018"
"MI883481","Elcajon Bay","ALPENA","MI","105","DAYS","-","-","-","-","1","PER_WEEK","1","2017"
"MI219728","Issineke Hardwood Point","ALPENA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK","3.331","2018"
"MI219728","Issineke Hardwood Point","ALPENA","MI","105","DAYS","-","-","-","-","1","PER_WEEK","3.331","2017"
"MI000285","Michekewis Beach","ALPENA","MI","105","DAYS","0","PER_WEEK","0","PER_WEEK","1","PER_WEEK",".093","2018"
