"Year","Beach ID","Beach Name","BeachDescription","State Code","County","WaterbodyName","WaterbodyType","Beach Status","Beach Access","Beach Owner","Reported","Tier"
"2018","VA800662","ASSATEAGUE ISLAND NATIONAL SEASHORE","BEACH","VA","ACCOMACK","-","-","Historical","Public","Public","N","1"
"2017","VA800662","ASSATEAGUE ISLAND NATIONAL SEASHORE","BEACH","VA","ACCOMACK","-","-","Historical","Public","Public","N","1"
"2018","MD613035","Assateague Virginia","Beach Monitoring and Public Notification","VA","ACCOMACK","Atlantic Ocean","Open Coast","Historical","Public","Public","Y","1"
"2017","MD613035","Assateague Virginia","Beach Monitoring and Public Notification","VA","ACCOMACK","Atlantic Ocean","Open Coast","Historical","Public","Public","Y","1"
"2018","VA153278","GUARD SHORE","BEACH","VA","ACCOMACK","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Public","Public","Y","1"
"2017","VA153278","GUARD SHORE","BEACH","VA","ACCOMACK","Chesapeake Bay","Sound, Bay, or Inlet","No advisory or closure","Public","Public","Y","1"
"2018","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","BALNEARIO PICO DE PIEDRA, AGUADA","PR","AGUADA","-","-","No advisory or closure","Public","Public","Y","1"
"2017","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","BALNEARIO PICO DE PIEDRA, AGUADA","PR","AGUADA","-","-","No advisory or closure","Public","Public","Y","1"
"2018","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","BALNEARIO CRASH BOAT, AGUADILLA","PR","AGUADILLA","-","-","No advisory or closure","Public","Public","Y","1"
"2017","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","BALNEARIO CRASH BOAT, AGUADILLA","PR","AGUADILLA","-","-","No advisory or closure","Public","Public","Y","1"
"2018","CA580154","Alameda Point","Alameda Point Encinal Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","N","1"
"2017","CA580154","Alameda Point","Alameda Point Encinal Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","N","1"
"2018","CA549911","Crown Beach (Alameda Co)","Crown Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","Y","1"
"2017","CA549911","Crown Beach (Alameda Co)","Crown Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","Y","1"
"2018","CA826873","Keller Beach (Contra Costa Co)","Keller Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","Y","1"
"2017","CA826873","Keller Beach (Contra Costa Co)","Keller Beach","CA","ALAMEDA","Pacific Ocean","Still Water","No advisory or closure","Public","Public","Y","1"
"2018","MI000293","Black River Public Access","Alcona Township Park","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI000293","Black River Public Access","Alcona Township Park","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI908114","Greenbush Township","Greenbush Township Road End","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI908114","Greenbush Township","Greenbush Township Road End","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI388337","Harrisville Public Access","Harrisville","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2017","MI388337","Harrisville Public Access","Harrisville","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","3"
"2018","MI000348","Harrisville State Park","Harrisville","MI","ALCONA","Lake Huron","Still Water","No advisory or closure","Public","Public","Y","2"
