"County","State","Year","No. ofBEACHActBeaches","No. ofMonitoredBeaches","Percent ofTotalBeachesMonitored","TotalLengthof MonitoredBeaches(Mi)","No. ofTier 1Beaches","No. ofTier 1MonitoredBeaches","Percent ofTier 1BeachesMonitored","No. ofMonitoredBeacheswithActions","No. ofMonitoredBeacheswithoutActions","Percent ofMonitoredBeachesAffectedby aBeachAction","TotalNo.of BeachActions","No. of Actions Lessthan 1 Day Duration","Percent ofActionsLess than1 DayDuration","No. ofActions of1 DayDuration","Percent ofActions of1 DayDuration","No. ofActions of2 DayDuration","Percent ofActions of2 DayDuration","No. ofActions of3 - 7 DayDuration","Percent ofActions of3 - 7 DayDuration","No. ofActions of8 - 30 DayDuration","Percent  ofActions of8 - 30 DayDuration","No. ofActionsGreaterthan30 DayDuration","Percent ofActionsGreaterthan30 DayDuration","No. ofBeachDays(MonitoredBeaches)","No. ofDaysUndera BeachAction(MonitoredBeaches)","PercentDaysUnder aBeachAction(MonitoredBeaches)","No. ofDaysNot Undera BeachAction(MonitoredBeaches)","PercentDaysNot Under aBeachAction(MonitoredBeaches)"
"ACCOMACK","VA","2018","1","1","100","0","1","1","100","1","0","100","4","0","0","3","75","0","0","1","25","0","0","0","0","153","10","6.54","143","93.46"
"ACCOMACK","VA","2017","1","1","100","0","1","1","100","1","0","100","1","0","0","1","100","0","0","0","0","0","0","0","0","153","1",".65","152","99.35"
"AGUADA","PR","2018","1","1","100","0","1","1","100","1","0","100","4","0","0","1","25","0","0","2","50","1","25","0","0","364","33","9.07","331","90.93"
"AGUADA","PR","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","0","0","0","0","2","50","2","50","0","0","364","28","7.69","336","92.31"
"AGUADILLA","PR","2018","1","1","100","0","1","1","100","1","0","100","3","0","0","0","0","0","0","1","33.33","2","66.67","0","0","364","35","9.62","329","90.38"
"AGUADILLA","PR","2017","1","1","100","0","1","1","100","1","0","100","4","0","0","1","25","0","0","1","25","2","50","0","0","364","45","12.36","319","87.64"
"ALAMEDA","CA","2018","3","3","100","2","3","3","100","2","1","66.67","20","0","0","1","5","4","20","3","15","9","45","3","15","1093","412","37.69","681","62.31"
"ALAMEDA","CA","2017","3","3","100","2","3","3","100","2","1","66.67","29","0","0","1","3.45","3","10.34","11","37.93","12","41.38","2","6.9","1093","534","48.86","559","51.14"
"ALCONA","MI","2018","7","2","28.57","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","252","0","0","252","100"
"ALCONA","MI","2017","7","2","28.57","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","252","0","0","252","100"
